Soil_Type,Soil_pH,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Temperature,Humidity,Rainfall,Crop_Type,Crop_Growth_Stage,Season,Irrigation_Type,Previous_Crop,Region,Fertilizer_Used_Last_Season,Yield_Last_Season,Recommended_Fertilizer
Sandy,4.53,32.96,1.11,2.64,133,27,77,33.73,77.53,301.93,Tomato,Harvest,Kharif,Rainfed,Cotton,West,256.08,5.27,DAP
Loamy,5.17,49.38,0.49,2.35,141,49,112,10.05,53.25,966.1,Cotton,Vegetative,Zaid,Canal,Potato,Central,134.7,2.52,Compost
Sandy,6.82,11.39,1.47,2.53,154,75,23,20.3,87.43,245.86,Tomato,Sowing,Zaid,Canal,Sugarcane,North,165.72,1.89,MOP
Sandy,7.36,12.84,0.61,0.51,114,74,85,37.88,57.19,1387.41,Rice,Vegetative,Kharif,Canal,Maize,North,259.01,3.95,NPK
Silt,8.17,13.36,0.89,1.01,25,33,26,32.82,85.2,1655.23,Rice,Vegetative,Rabi,Canal,Wheat,North,131.96,6.24,Urea
Loamy,7.32,46.55,0.22,1.33,142,62,30,22.04,57.14,1586.93,Potato,Sowing,Rabi,Sprinkler,Tomato,East,217.56,2.65,MOP
Loamy,7.19,35.06,1.35,2.53,102,51,86,37.86,60.97,1153.99,Cotton,Harvest,Kharif,Sprinkler,Tomato,East,165.9,6.87,Zinc Sulphate
Clay,6.08,28.44,1.23,2.69,38,62,106,37.02,87.48,779.45,Wheat,Flowering,Rabi,Sprinkler,Sugarcane,Central,118.36,7.25,Urea
Loamy,4.51,15.28,0.45,0.93,38,71,63,11.58,70.49,1472.16,Tomato,Vegetative,Zaid,Sprinkler,Rice,South,161.97,2.79,Urea
Loamy,4.98,46.61,1.41,2.09,53,71,22,13.84,38.96,2635.8,Wheat,Harvest,Zaid,Drip,Cotton,West,239.81,2.82,Urea
Clay,6.64,26.05,0.61,0.33,44,77,57,21.62,65.91,2953.04,Rice,Harvest,Kharif,Rainfed,Maize,Central,217.01,3.5,Urea
Loamy,7.2,23.27,1.1,1.29,116,44,54,37.88,43.51,1075.63,Wheat,Flowering,Kharif,Drip,Rice,North,238.68,5.98,SSP
Loamy,6.17,42.62,1.26,1.51,75,66,18,35.33,48.58,2928.4,Cotton,Vegetative,Kharif,Canal,Tomato,East,128.41,1.86,MOP
Loamy,7.42,37.95,1.16,2.32,40,70,64,11.43,80.29,1416.74,Sugarcane,Flowering,Kharif,Rainfed,Rice,North,242.64,6.56,Urea
Loamy,6.59,28.12,1.39,2.69,53,21,59,25.37,70.93,1917.16,Wheat,Flowering,Zaid,Sprinkler,Rice,East,151.18,4.62,Urea
Clay,4.8,42.07,1.32,1.08,129,58,29,31.61,47.21,2450.4,Rice,Vegetative,Kharif,Canal,Potato,South,184.23,5.19,MOP
Loamy,5.27,23.56,1.49,1.63,44,31,117,18.28,30.28,1206.38,Tomato,Vegetative,Rabi,Canal,Maize,Central,269.65,6.7,Urea
Loamy,7.86,49.74,0.44,1.98,101,77,49,31.68,61.87,783.19,Sugarcane,Sowing,Rabi,Sprinkler,Maize,Central,229.42,1.7,Zinc Sulphate
Clay,7.4,21.47,0.6,1.05,126,80,10,21.09,45.01,964.61,Sugarcane,Vegetative,Kharif,Rainfed,Rice,East,228.86,7.06,MOP
Silt,8.08,17.94,1.03,2.96,30,32,86,18.22,31.7,2548.13,Tomato,Flowering,Kharif,Canal,Potato,North,174.87,7.6,Urea
Sandy,4.97,49.12,1.15,2.64,38,16,95,21.78,33.8,2816.53,Sugarcane,Harvest,Rabi,Sprinkler,Rice,West,194.96,5.8,Urea
Silt,8.46,45.39,0.89,0.96,149,31,86,38.52,70.4,559.76,Tomato,Sowing,Kharif,Canal,Wheat,North,238.64,6.38,DAP
Clay,5.34,19.13,0.3,1.57,49,49,73,37.16,54.86,2144.63,Rice,Sowing,Kharif,Rainfed,Wheat,East,51.02,1.9,Urea
Sandy,4.55,15.81,1.29,0.77,128,28,44,37.42,45.75,297.73,Sugarcane,Sowing,Rabi,Drip,Maize,Central,153.33,4.62,DAP
Clay,8.49,51.92,1.45,1.59,57,62,74,37.52,82.78,2649.87,Cotton,Sowing,Rabi,Rainfed,Maize,West,124.85,2.74,Urea
Clay,5.62,48.83,0.73,2.08,34,39,119,15.35,79.51,2599.12,Sugarcane,Flowering,Zaid,Canal,Wheat,Central,113.89,6.55,Urea
Loamy,7.17,26.36,0.49,0.35,94,35,62,36.88,57.97,2368.89,Tomato,Vegetative,Rabi,Drip,Maize,Central,257.26,6.56,DAP
Sandy,5.21,42.91,0.23,2.62,79,50,106,16.37,46.54,2508.27,Potato,Flowering,Zaid,Rainfed,Sugarcane,East,169.17,3.66,Compost
Loamy,6.82,16.21,0.51,1.82,151,31,70,35.14,60.43,1892.18,Potato,Flowering,Kharif,Canal,Rice,East,62.47,5.99,DAP
Sandy,8.12,35.35,1.11,2.97,102,70,14,26.26,75.18,612.46,Tomato,Vegetative,Zaid,Canal,Rice,East,293.99,4.65,MOP
Clay,5.78,10.94,1.39,0.17,33,82,103,17.2,30.64,2760.76,Tomato,Sowing,Zaid,Drip,Sugarcane,North,86.65,4.59,Urea
Clay,7.18,29.58,0.32,2.51,133,55,78,21.96,66.75,594.86,Cotton,Flowering,Kharif,Sprinkler,Wheat,East,158.39,5.67,NPK
Silt,5.25,13.74,0.92,2.4,100,67,116,23.0,72.61,830.56,Rice,Sowing,Rabi,Drip,Wheat,South,207.95,5.1,Compost
Sandy,7.0,33.76,1.1,0.49,27,38,98,32.0,79.01,1411.32,Tomato,Harvest,Kharif,Drip,Sugarcane,North,191.07,2.17,Urea
Loamy,5.85,31.08,0.56,1.07,96,62,69,28.18,43.0,1594.3,Tomato,Vegetative,Zaid,Sprinkler,Sugarcane,Central,158.81,5.36,NPK
Silt,5.34,32.22,0.94,2.67,112,27,99,34.5,42.21,469.69,Rice,Sowing,Rabi,Sprinkler,Maize,West,126.14,4.0,DAP
Silt,5.75,12.27,1.13,1.6,130,40,28,21.9,42.94,2332.7,Potato,Vegetative,Rabi,Drip,Cotton,North,192.25,4.15,MOP
Silt,5.22,28.08,1.29,1.26,158,41,85,32.31,85.89,584.46,Rice,Sowing,Zaid,Sprinkler,Wheat,East,263.88,6.59,Compost
Loamy,8.11,47.82,0.79,2.73,99,18,66,33.78,38.46,2033.33,Sugarcane,Harvest,Zaid,Sprinkler,Wheat,South,109.99,6.26,DAP
Silt,6.09,28.45,1.17,0.37,69,46,17,11.89,75.88,1465.55,Wheat,Vegetative,Zaid,Rainfed,Wheat,North,65.75,6.03,MOP
Loamy,5.48,45.76,0.59,1.47,106,17,83,21.27,89.21,2470.62,Wheat,Harvest,Kharif,Sprinkler,Sugarcane,West,139.43,6.86,DAP
Silt,6.29,28.47,0.48,1.99,95,33,27,36.58,86.78,1027.69,Sugarcane,Harvest,Rabi,Rainfed,Wheat,North,236.84,2.39,DAP
Loamy,5.78,31.16,0.44,1.86,57,77,114,31.15,54.59,2542.28,Maize,Harvest,Zaid,Canal,Tomato,Central,297.83,4.5,Urea
Clay,7.48,38.19,0.67,0.87,114,61,20,22.55,80.36,906.33,Maize,Vegetative,Rabi,Sprinkler,Wheat,East,212.73,7.72,MOP
Clay,8.38,57.53,0.25,1.73,144,55,71,15.49,70.21,1808.16,Cotton,Harvest,Rabi,Sprinkler,Potato,North,177.33,1.71,Zinc Sulphate
Clay,6.25,15.44,0.57,2.15,84,26,39,12.9,82.11,1561.11,Wheat,Vegetative,Kharif,Rainfed,Maize,South,69.19,7.56,DAP
Clay,7.94,11.65,1.05,1.8,109,30,14,16.88,39.67,1187.21,Sugarcane,Sowing,Rabi,Sprinkler,Sugarcane,East,135.3,2.01,DAP
Clay,6.76,40.4,1.04,2.08,36,57,97,17.34,75.9,232.98,Tomato,Flowering,Kharif,Rainfed,Sugarcane,West,64.16,1.29,Urea
Silt,5.13,57.45,0.3,0.84,119,18,118,21.12,65.19,1313.98,Rice,Harvest,Rabi,Canal,Maize,East,155.06,2.35,DAP
Silt,7.26,59.49,0.57,2.52,46,78,86,15.31,62.41,531.41,Wheat,Sowing,Rabi,Sprinkler,Tomato,North,172.62,4.16,Urea
Silt,6.55,34.21,0.94,1.4,108,14,65,14.38,73.73,830.44,Sugarcane,Harvest,Zaid,Sprinkler,Cotton,Central,118.67,2.9,DAP
Loamy,7.1,33.4,0.61,2.96,44,15,45,35.32,46.38,2127.24,Potato,Sowing,Rabi,Drip,Sugarcane,East,67.47,4.17,Urea
Loamy,8.06,42.25,0.74,0.17,121,81,36,17.49,34.48,1799.61,Potato,Sowing,Kharif,Canal,Maize,North,156.77,4.3,MOP
Loamy,6.26,37.78,1.13,1.2,115,57,41,26.85,60.13,1675.82,Maize,Sowing,Zaid,Rainfed,Rice,North,292.75,7.95,Zinc Sulphate
Loamy,8.1,41.7,0.21,0.62,77,55,23,15.98,48.13,1779.25,Potato,Harvest,Zaid,Sprinkler,Maize,Central,130.47,4.87,MOP
Clay,7.5,53.7,0.56,1.71,143,88,50,24.75,45.38,536.15,Potato,Flowering,Kharif,Sprinkler,Rice,North,128.52,6.38,DAP
Clay,6.45,47.32,0.39,0.81,20,82,75,18.3,89.91,660.99,Maize,Flowering,Zaid,Sprinkler,Cotton,West,87.06,1.65,Urea
Clay,6.91,34.84,0.37,2.24,40,72,13,12.6,41.87,1719.84,Maize,Vegetative,Kharif,Sprinkler,Maize,Central,188.99,5.22,Urea
Sandy,5.8,33.09,1.45,2.66,20,12,20,39.47,44.13,1339.12,Potato,Flowering,Kharif,Canal,Sugarcane,West,184.01,2.94,Urea
Silt,8.43,41.98,0.69,0.71,80,40,115,23.73,50.03,1496.97,Cotton,Harvest,Kharif,Canal,Sugarcane,West,146.55,2.84,Zinc Sulphate
Loamy,7.17,32.79,0.89,0.57,22,16,110,21.79,59.82,2661.63,Tomato,Vegetative,Zaid,Drip,Rice,North,273.51,7.96,Urea
Loamy,4.68,32.89,1.15,2.64,101,25,57,15.97,82.15,718.46,Sugarcane,Harvest,Zaid,Sprinkler,Maize,East,73.54,3.19,DAP
Clay,5.81,10.82,0.26,1.15,44,24,111,24.86,40.58,2749.96,Sugarcane,Harvest,Kharif,Canal,Cotton,West,280.3,7.1,Urea
Loamy,6.99,18.7,0.51,1.36,37,16,46,29.06,66.96,2600.96,Potato,Harvest,Zaid,Drip,Wheat,West,152.92,4.23,Urea
Loamy,4.73,34.43,1.28,0.74,47,47,22,19.14,52.11,2725.01,Tomato,Flowering,Zaid,Drip,Maize,East,83.98,3.67,Urea
Silt,4.6,51.13,1.32,1.33,23,17,82,24.41,77.81,1995.81,Rice,Vegetative,Rabi,Canal,Maize,South,190.89,1.99,Urea
Clay,6.3,23.94,0.68,0.77,138,65,51,17.11,66.11,2619.02,Tomato,Sowing,Rabi,Canal,Tomato,South,219.96,5.64,DAP
Silt,5.83,36.13,0.69,2.03,135,89,36,25.83,77.71,2975.33,Sugarcane,Harvest,Kharif,Canal,Wheat,Central,119.85,4.74,MOP
Sandy,6.25,27.25,1.18,1.55,89,10,75,33.62,81.31,1519.96,Rice,Flowering,Zaid,Canal,Tomato,Central,259.26,5.33,DAP
Sandy,5.55,15.24,0.58,2.39,40,28,56,11.81,84.73,2613.06,Potato,Vegetative,Kharif,Sprinkler,Cotton,West,52.8,6.83,Urea
Sandy,5.16,57.91,0.35,1.01,113,87,100,25.54,89.74,2730.34,Tomato,Flowering,Zaid,Sprinkler,Maize,East,137.19,6.57,Compost
Clay,7.26,52.73,0.53,1.57,145,28,85,21.98,67.13,1067.34,Maize,Harvest,Rabi,Drip,Wheat,East,269.47,1.71,DAP
Loamy,6.56,13.92,0.7,0.85,140,13,21,12.22,68.25,1439.58,Wheat,Flowering,Kharif,Canal,Wheat,South,219.41,1.33,DAP
Clay,5.3,45.99,0.27,2.81,147,73,76,38.22,38.43,1806.29,Tomato,Sowing,Kharif,Sprinkler,Wheat,North,105.95,4.68,Compost
Clay,5.78,27.38,0.82,1.61,50,11,35,17.8,36.31,1177.64,Maize,Harvest,Rabi,Drip,Tomato,North,163.56,1.87,Urea
Loamy,6.87,59.74,1.16,0.6,119,85,88,26.94,59.26,1102.01,Sugarcane,Flowering,Kharif,Canal,Cotton,South,117.01,7.81,MOP
Silt,4.79,25.12,0.87,0.89,88,32,36,21.18,71.62,1266.01,Rice,Flowering,Rabi,Sprinkler,Maize,South,168.39,5.66,DAP
Sandy,5.09,21.94,0.29,0.34,36,65,118,18.13,44.89,1386.94,Maize,Sowing,Zaid,Sprinkler,Potato,Central,259.37,7.13,Urea
Silt,4.79,38.39,0.77,0.18,64,60,44,25.82,49.63,906.36,Tomato,Harvest,Zaid,Sprinkler,Tomato,North,62.64,1.19,Compost
Sandy,7.75,51.76,1.12,1.63,130,40,22,30.67,72.01,1525.27,Tomato,Flowering,Rabi,Sprinkler,Cotton,Central,111.42,4.21,MOP
Clay,7.51,19.63,0.28,1.08,69,67,65,33.57,42.7,2380.5,Sugarcane,Sowing,Zaid,Canal,Tomato,South,57.84,4.23,NPK
Sandy,7.51,45.47,0.28,2.89,139,45,78,29.02,61.28,1948.56,Sugarcane,Vegetative,Zaid,Drip,Tomato,South,297.85,2.7,NPK
Clay,7.37,13.07,0.68,0.6,117,21,52,25.79,62.32,1263.34,Rice,Flowering,Rabi,Drip,Cotton,South,89.83,1.6,DAP
Silt,7.18,55.95,0.45,2.4,135,44,90,33.32,85.02,637.35,Potato,Sowing,Kharif,Drip,Sugarcane,East,120.43,2.95,NPK
Clay,6.41,14.05,1.42,1.02,142,89,92,25.52,54.14,2507.32,Cotton,Harvest,Rabi,Sprinkler,Maize,South,263.3,5.77,Zinc Sulphate
Silt,7.07,55.71,0.96,0.75,48,13,93,39.23,42.63,1631.73,Wheat,Harvest,Rabi,Drip,Tomato,North,177.89,1.24,Urea
Loamy,4.65,34.54,0.57,2.91,22,37,68,25.8,40.43,2919.47,Tomato,Flowering,Zaid,Canal,Sugarcane,North,286.09,4.49,Urea
Loamy,6.99,32.4,1.12,2.43,25,42,96,19.52,47.59,907.54,Cotton,Sowing,Rabi,Canal,Maize,South,197.55,4.1,Urea
Loamy,7.61,58.67,0.69,1.93,95,83,21,23.39,46.74,691.44,Maize,Harvest,Kharif,Sprinkler,Tomato,Central,230.5,2.84,MOP
Clay,6.5,59.52,0.37,2.12,24,40,105,24.7,75.01,222.42,Cotton,Sowing,Zaid,Sprinkler,Rice,Central,204.27,3.08,Urea
Loamy,5.93,42.51,0.51,2.98,22,87,38,18.5,65.62,431.35,Rice,Harvest,Rabi,Canal,Maize,East,234.34,2.52,Urea
Sandy,5.61,16.36,1.04,1.82,23,14,14,14.76,70.95,1279.13,Tomato,Harvest,Kharif,Canal,Maize,South,117.11,5.53,Urea
Silt,7.07,35.31,0.27,0.4,24,19,58,22.94,67.82,755.07,Wheat,Vegetative,Kharif,Canal,Wheat,West,133.08,4.3,Urea
Silt,7.27,36.46,0.55,0.29,76,34,73,36.91,58.87,306.07,Cotton,Harvest,Rabi,Drip,Maize,North,200.81,6.43,DAP
Sandy,7.98,35.72,0.47,2.03,118,50,52,17.67,85.7,831.03,Cotton,Flowering,Kharif,Drip,Tomato,Central,265.11,5.93,Zinc Sulphate
Clay,5.87,38.47,0.46,2.01,102,26,75,20.85,79.05,2240.51,Wheat,Flowering,Kharif,Rainfed,Cotton,Central,107.18,4.87,DAP
Clay,7.58,10.94,1.09,2.27,74,70,15,32.73,42.65,2259.94,Maize,Sowing,Kharif,Rainfed,Cotton,North,289.26,7.79,MOP
Silt,6.75,45.56,1.27,0.42,42,69,94,12.47,55.42,618.98,Rice,Harvest,Zaid,Rainfed,Potato,Central,161.88,3.75,Urea
Loamy,8.03,45.62,1.13,2.84,154,42,108,34.75,47.27,2822.17,Tomato,Vegetative,Zaid,Sprinkler,Wheat,West,83.75,7.13,Zinc Sulphate
Clay,6.61,15.77,1.04,1.7,57,18,24,31.61,74.74,645.3,Wheat,Flowering,Kharif,Rainfed,Wheat,North,267.98,4.34,Urea
Clay,6.57,38.51,1.39,1.98,128,59,27,26.49,50.67,450.16,Maize,Flowering,Rabi,Drip,Maize,West,281.94,2.56,MOP
Sandy,6.81,38.42,0.28,0.2,104,40,58,16.28,68.41,656.22,Wheat,Sowing,Zaid,Drip,Cotton,North,255.72,5.46,NPK
Sandy,7.5,44.12,0.42,2.89,56,14,56,12.78,47.53,593.46,Rice,Flowering,Rabi,Rainfed,Tomato,South,158.76,4.46,Urea
Loamy,8.36,14.27,0.74,1.73,153,55,11,16.95,40.3,1968.78,Rice,Vegetative,Zaid,Drip,Maize,Central,285.84,3.38,MOP
Clay,4.79,41.33,0.68,1.73,157,13,14,32.84,30.55,637.52,Cotton,Harvest,Rabi,Sprinkler,Wheat,North,133.05,6.93,DAP
Clay,4.71,24.04,0.74,2.84,135,40,46,38.0,89.68,1976.12,Cotton,Flowering,Kharif,Rainfed,Sugarcane,East,72.14,1.47,Compost
Sandy,8.25,35.35,0.47,2.8,125,13,114,32.14,43.17,974.48,Sugarcane,Flowering,Kharif,Drip,Potato,North,135.92,3.26,DAP
Clay,6.62,48.67,0.39,0.74,76,27,15,25.83,79.93,895.53,Sugarcane,Sowing,Kharif,Canal,Sugarcane,South,141.43,6.12,DAP
Silt,6.96,45.28,0.86,2.8,111,43,51,38.52,79.33,2712.3,Cotton,Sowing,Kharif,Rainfed,Cotton,North,250.27,2.26,DAP
Sandy,6.43,15.95,1.41,2.24,35,57,60,34.86,44.16,800.13,Rice,Vegetative,Zaid,Drip,Tomato,North,228.78,4.47,Urea
Loamy,4.87,39.56,0.71,0.15,133,72,92,29.68,54.94,2620.84,Maize,Flowering,Zaid,Canal,Sugarcane,West,205.29,3.54,Compost
Sandy,7.57,58.46,0.26,0.8,78,23,25,11.14,80.17,1049.88,Potato,Sowing,Zaid,Rainfed,Potato,Central,98.12,3.3,DAP
Clay,7.49,17.84,1.12,1.3,22,42,85,18.63,71.39,2975.44,Cotton,Harvest,Kharif,Sprinkler,Maize,West,249.98,3.9,Urea
Loamy,5.75,52.65,0.58,1.79,136,51,97,19.25,52.19,2946.6,Sugarcane,Harvest,Zaid,Rainfed,Sugarcane,Central,58.0,4.78,NPK
Sandy,5.72,45.13,0.52,2.13,38,41,82,20.42,86.95,2517.31,Rice,Vegetative,Kharif,Rainfed,Rice,East,104.81,3.15,Urea
Silt,7.85,48.7,0.62,0.71,116,52,76,21.68,50.54,2630.64,Potato,Vegetative,Rabi,Canal,Maize,East,187.24,3.82,Zinc Sulphate
Silt,4.79,24.1,1.14,2.53,155,66,90,38.18,42.72,2505.13,Tomato,Flowering,Kharif,Rainfed,Maize,West,168.99,5.36,Compost
Sandy,8.02,24.39,1.26,2.55,38,24,39,32.26,38.8,1963.01,Wheat,Vegetative,Zaid,Drip,Rice,Central,222.63,3.32,Urea
Silt,5.53,55.3,0.96,1.94,55,59,36,30.76,72.08,2465.26,Cotton,Harvest,Kharif,Drip,Cotton,South,248.26,7.09,Urea
Silt,6.87,27.99,0.62,2.77,131,80,97,22.8,31.74,1959.19,Cotton,Flowering,Rabi,Rainfed,Cotton,West,266.25,6.62,SSP
Silt,8.24,13.15,0.6,2.46,79,72,51,20.13,80.75,2558.06,Maize,Harvest,Rabi,Drip,Maize,North,291.22,1.99,Zinc Sulphate
Loamy,7.21,40.03,0.36,0.74,53,79,73,13.59,48.25,2819.55,Potato,Sowing,Zaid,Rainfed,Cotton,West,188.34,6.94,Urea
Silt,6.16,16.24,1.41,2.42,61,18,59,23.6,52.19,2309.3,Tomato,Flowering,Rabi,Sprinkler,Potato,North,195.13,2.26,DAP
Silt,7.26,49.83,1.03,2.86,61,22,48,16.16,78.11,2901.12,Rice,Harvest,Zaid,Drip,Maize,West,190.16,1.81,DAP
Silt,5.88,42.09,0.24,0.5,107,27,16,21.73,78.85,1455.04,Maize,Harvest,Zaid,Sprinkler,Maize,Central,274.06,7.84,DAP
Loamy,5.61,53.74,1.06,2.94,41,44,82,14.69,54.0,2791.08,Tomato,Vegetative,Kharif,Canal,Wheat,South,243.1,4.85,Urea
Sandy,8.49,49.24,0.78,0.17,106,10,25,20.32,63.23,833.45,Wheat,Flowering,Kharif,Rainfed,Sugarcane,South,174.34,7.08,DAP
Clay,7.5,15.61,1.46,1.61,60,45,65,11.29,70.75,287.83,Rice,Sowing,Zaid,Sprinkler,Potato,North,221.04,2.73,NPK
Silt,7.08,29.05,1.26,2.34,43,89,20,10.18,71.32,558.67,Maize,Sowing,Zaid,Sprinkler,Potato,South,126.22,7.61,Urea
Sandy,5.92,48.73,0.42,2.39,70,76,18,36.1,62.04,648.69,Wheat,Vegetative,Rabi,Canal,Tomato,North,91.56,7.3,MOP
Silt,4.7,30.87,1.14,2.23,52,55,10,29.24,80.65,2508.39,Wheat,Sowing,Rabi,Canal,Sugarcane,Central,61.82,4.76,Urea
Loamy,4.62,58.62,0.83,1.64,47,46,53,27.63,80.49,1322.83,Cotton,Harvest,Rabi,Sprinkler,Rice,South,153.69,6.9,Urea
Sandy,6.72,46.79,0.44,1.99,109,81,44,25.41,80.93,852.9,Potato,Flowering,Zaid,Canal,Maize,South,143.1,3.69,Urea
Loamy,7.55,10.77,1.11,2.13,101,38,93,31.8,46.09,2474.36,Potato,Flowering,Kharif,Rainfed,Sugarcane,South,239.66,5.21,DAP
Silt,6.65,54.0,0.91,1.53,141,53,60,32.08,45.41,765.95,Rice,Sowing,Rabi,Canal,Cotton,Central,175.84,5.66,NPK
Silt,7.86,15.04,0.24,1.83,98,77,17,38.06,38.39,418.05,Wheat,Harvest,Rabi,Canal,Cotton,North,92.78,6.93,MOP
Loamy,4.63,17.03,1.04,2.55,121,85,80,17.33,79.58,1505.33,Maize,Vegetative,Rabi,Sprinkler,Sugarcane,Central,74.52,5.56,Compost
Clay,5.97,46.72,1.03,1.01,41,86,46,33.56,33.64,394.34,Rice,Vegetative,Zaid,Drip,Potato,West,69.88,7.85,Urea
Loamy,5.45,53.25,0.39,1.62,37,23,110,39.73,38.12,981.03,Wheat,Sowing,Rabi,Rainfed,Potato,South,54.46,1.09,Urea
Silt,6.29,36.82,0.65,0.12,21,87,93,10.87,85.57,2160.94,Cotton,Harvest,Kharif,Sprinkler,Potato,North,68.66,6.84,Urea
Loamy,4.79,24.45,0.96,2.09,113,60,14,21.22,37.51,1248.69,Sugarcane,Vegetative,Rabi,Canal,Maize,North,238.46,3.09,MOP
Clay,8.32,27.57,0.38,0.67,108,83,85,23.08,37.28,444.94,Sugarcane,Flowering,Zaid,Rainfed,Cotton,South,243.37,1.79,Zinc Sulphate
Loamy,5.39,27.14,1.31,1.49,58,18,30,34.65,84.55,1328.38,Potato,Vegetative,Kharif,Sprinkler,Tomato,West,138.75,2.5,Urea
Clay,8.19,26.33,0.24,0.71,36,78,93,10.41,48.61,1636.8,Sugarcane,Vegetative,Kharif,Sprinkler,Sugarcane,North,58.25,6.57,Urea
Clay,6.2,22.15,0.33,0.17,35,43,14,27.96,82.89,900.64,Wheat,Sowing,Kharif,Canal,Potato,West,82.2,3.8,Urea
Loamy,8.44,40.44,0.35,1.5,150,74,32,36.78,52.66,678.49,Wheat,Sowing,Kharif,Drip,Rice,West,176.86,5.64,MOP
Loamy,6.72,55.02,0.89,1.33,61,36,66,14.43,52.42,2332.69,Maize,Harvest,Zaid,Drip,Wheat,East,294.25,5.61,DAP
Sandy,8.22,25.35,1.01,1.33,82,49,80,13.47,38.11,389.94,Sugarcane,Flowering,Zaid,Canal,Sugarcane,East,80.61,3.43,Zinc Sulphate
Silt,4.52,19.33,0.72,0.71,48,17,74,39.99,85.12,2879.23,Sugarcane,Harvest,Rabi,Drip,Sugarcane,East,88.58,4.72,Urea
Clay,7.49,51.93,0.58,2.85,149,15,34,34.78,75.7,221.28,Rice,Sowing,Kharif,Sprinkler,Maize,North,151.21,4.55,DAP
Sandy,8.11,47.09,1.25,0.11,126,62,28,30.92,43.54,2023.48,Rice,Sowing,Zaid,Sprinkler,Potato,Central,203.89,4.04,MOP
Loamy,5.06,56.54,0.29,2.69,123,14,11,21.97,73.67,574.09,Wheat,Vegetative,Kharif,Rainfed,Sugarcane,North,147.98,2.73,DAP
Silt,4.88,18.28,0.56,2.24,33,63,21,35.62,36.22,1731.87,Potato,Harvest,Kharif,Sprinkler,Sugarcane,West,206.52,4.23,Urea
Sandy,6.2,17.21,0.25,0.6,31,27,51,37.68,61.43,724.47,Tomato,Flowering,Kharif,Sprinkler,Cotton,Central,66.31,1.52,Urea
Clay,8.23,37.07,0.22,1.47,43,80,34,31.97,45.26,296.1,Wheat,Vegetative,Kharif,Drip,Wheat,North,94.73,5.97,Urea
Sandy,6.67,40.72,0.66,2.97,47,45,105,21.94,81.04,2607.35,Cotton,Vegetative,Zaid,Canal,Tomato,East,67.71,4.45,Urea
Clay,6.61,34.01,0.45,1.97,120,63,57,27.51,60.67,1387.02,Potato,Harvest,Zaid,Canal,Cotton,East,268.77,6.59,Urea
Loamy,5.06,39.95,0.55,0.47,153,43,116,12.96,85.27,970.62,Sugarcane,Sowing,Rabi,Rainfed,Rice,North,249.68,2.54,Compost
Silt,4.5,19.02,1.27,1.43,49,41,91,14.74,65.11,2852.36,Sugarcane,Harvest,Kharif,Rainfed,Rice,Central,116.69,3.8,Urea
Silt,7.74,33.98,0.41,1.46,53,60,40,33.49,60.24,429.57,Wheat,Sowing,Rabi,Drip,Cotton,West,238.52,7.43,Urea
Silt,4.85,42.9,1.21,2.43,94,12,67,10.88,71.64,1175.83,Tomato,Vegetative,Zaid,Canal,Sugarcane,South,252.71,4.67,DAP
Loamy,7.04,31.64,1.08,2.76,35,74,70,11.48,77.04,696.62,Tomato,Flowering,Kharif,Sprinkler,Potato,Central,262.77,7.39,Urea
Clay,8.16,43.97,0.62,0.34,46,22,53,25.24,30.92,2975.35,Tomato,Flowering,Rabi,Rainfed,Tomato,West,158.26,3.78,Urea
Loamy,5.33,32.56,0.91,1.01,131,17,18,15.12,61.34,1728.85,Maize,Sowing,Zaid,Canal,Sugarcane,West,292.23,7.5,DAP
Silt,7.16,26.68,0.78,0.97,68,53,30,18.81,76.54,2474.22,Rice,Flowering,Zaid,Canal,Rice,East,273.07,4.45,MOP
Loamy,4.81,25.18,0.37,2.99,156,39,63,21.96,54.45,657.9,Sugarcane,Harvest,Rabi,Drip,Maize,North,227.42,2.37,DAP
Loamy,6.92,30.55,1.38,1.72,45,17,112,25.67,32.71,1052.42,Tomato,Sowing,Rabi,Drip,Rice,North,57.98,4.57,Urea
Loamy,5.16,11.15,0.94,2.65,25,67,80,18.51,31.05,1934.89,Maize,Vegetative,Rabi,Sprinkler,Rice,Central,234.29,5.68,Urea
Clay,7.44,43.43,1.34,1.34,154,17,22,24.51,77.63,698.48,Potato,Flowering,Rabi,Rainfed,Tomato,South,207.08,5.93,DAP
Sandy,5.7,52.26,1.27,2.2,32,70,93,21.12,41.88,1600.17,Rice,Sowing,Zaid,Drip,Rice,North,286.38,4.6,Urea
Sandy,6.35,27.73,0.3,0.93,29,88,22,12.43,40.5,2808.52,Potato,Flowering,Kharif,Canal,Cotton,North,163.54,4.53,Urea
Loamy,6.9,12.3,0.47,2.74,62,62,61,36.01,47.37,2804.71,Cotton,Sowing,Kharif,Sprinkler,Maize,East,197.12,2.66,Urea
Sandy,5.19,59.34,0.39,1.42,129,80,37,18.44,36.13,1193.67,Tomato,Flowering,Rabi,Rainfed,Tomato,South,192.18,1.54,MOP
Sandy,7.47,23.18,1.28,2.43,131,85,110,28.28,33.2,1645.2,Tomato,Flowering,Kharif,Sprinkler,Potato,North,56.02,1.4,NPK
